stop_id,stop_name,stop_lat,stop_lon,muni
2275,WB Country Hills BV @ 14 ST NE,51.154442,-114.029143,Calgary
2276,EB 64 AV NE @ 11 ST NE,51.110424,-114.034978,Calgary
2277,NB Aero DR @ S of Aero GT NE,51.116615,-114.029923,Calgary
2278,NB Aero DR @ S of Aero GT NE,51.119224,-114.032887,Calgary
2279,WB Aero GT @ W of Aero DR NE,51.121226,-114.037148,Calgary
2280,SB Aero DR @ Aero GA NE,51.121111,-114.036187,Calgary
2281,SB Aero DR NE @ Bldg 25,51.119402,-114.033443,Calgary
2282,SB Aero DR NE @ Bldg 21,51.116144,-114.029894,Calgary
2283,WB 36 AV NE @ 6 ST NE,51.085027,-114.048009,Calgary
2286,EB 162 AV SW @ 24 ST SW,50.906538,-114.116708,Calgary
2287,NB 52 ST NE adjacent to Saddlecreek CR,51.127999,-113.958162,Calgary
2288,WB Saddlemont BV @ Saddleland DR NE,51.129525,-113.939543,Calgary
2289,SB Redstone ST @ Redstone DR NE,51.167723,-113.962158,Calgary
2290,SB Redstone ST @ Redstone WY NE,51.166368,-113.962184,Calgary
2291,WB Country Hills BV @ E of Barlow TR NE,51.154505,-113.994621,Calgary
2292,EB Country Hills BV @ Barlow TR NE,51.154126,-113.999932,Calgary
2293,WB Country Hills BV @ Barlow TR NE,51.154519,-114.002976,Calgary
2294,WB Country Hills BV @ Stonehill DR NE,51.154517,-114.007942,Calgary
2295,WB Aero WY @ Aero CO NE,51.131082,-114.029233,Calgary
2296,EB Areo DR @ Aero WY NE,51.136394,-114.027448,Calgary
2297,EB Cityscape BV @ Metis TR NE,51.147064,-113.969049,Calgary
2299,WB 17th AV SE @ 84th ST SE,51.037989,-113.909172,Calgary
2300,NB 52 ST SE @ 94 AV SE,50.969225,-113.958202,Calgary
2301,SB 52 ST SE @ 94 AV SE,50.968012,-113.958837,Calgary
2302,NB 52 ST SE @ Copperfield GA,50.910794,-113.949361,Calgary
2303,SB 52 ST SE @ Copperfield GA,50.910577,-113.949788,Calgary
2306,SB 2A ST SE @ N. of 25 AV SE,51.032559,-114.058432,Calgary
2308,SB Arbour Lake WY @ Arbour Ridge WY NW,51.137378,-114.190136,Calgary
2309,SB 10 ST NW @ S.of Gladstone RD,51.056238,-114.08605,Calgary
2311,NB 68 ST SE @ N Leg of Applewood Dr SE,51.045776,-113.934889,Calgary
2312,NB 68 ST NE @ Abbercove Dr,51.050129,-113.934914,Calgary
2313,NB 68 ST NE @ 4 AV SE,51.055942,-113.934861,Calgary
2314,NB 68 ST NE @ Abbotsford Dr,51.062998,-113.934913,Calgary
2315,NB 68 ST NE @ Monterey Square,51.069579,-113.934913,Calgary
2316,NB 68 ST NE @ California BV,51.072812,-113.934848,Calgary
2317,NB 68 ST NE @ 26 AV NE,51.076276,-113.934879,Calgary
2318,NB 68 ST NE @ 32 AV NE,51.082059,-113.934813,Calgary
2319,NB 68 ST NE @ 37 AV NE,51.08673,-113.934917,Calgary
2320,NB 68 ST NE @ 43 AV NE,51.091913,-113.93492,Calgary
2321,NB 68 ST NE @ Falconridge Dr,51.101643,-113.93494,Calgary
